id,nucleation,d_c,y,mu_s,R,xha_x,xha_y,xha_z
0,1,0.4,0.6,0.35,0.65,295214.0,4817590.0,-8238.0
1,1,0.4,0.6,0.35,0.7,295214.0,4817590.0,-8238.0
2,1,0.4,0.6,0.35,0.75,295214.0,4817590.0,-8238.0
3,1,0.4,0.6,0.35,0.8,295214.0,4817590.0,-8238.0
4,1,0.4,0.6,0.35,0.85,295214.0,4817590.0,-8238.0
5,1,0.4,0.6,0.4,0.7,295214.0,4817590.0,-8238.0
6,1,0.4,0.6,0.4,0.75,295214.0,4817590.0,-8238.0
7,1,0.4,0.6,0.4,0.8,295214.0,4817590.0,-8238.0
8,1,0.4,0.6,0.4,0.85,295214.0,4817590.0,-8238.0
9,1,0.4,0.6,0.45,0.75,295214.0,4817590.0,-8238.0
10,1,0.4,0.6,0.45,0.8,295214.0,4817590.0,-8238.0
11,1,0.4,0.6,0.45,0.85,295214.0,4817590.0,-8238.0
12,1,0.4,0.6,0.45,0.9,295214.0,4817590.0,-8238.0
13,1,0.4,0.6,0.5,0.7,295214.0,4817590.0,-8238.0
14,1,0.4,0.6,0.5,0.8,295214.0,4817590.0,-8238.0
15,1,0.4,0.6,0.5,0.85,295214.0,4817590.0,-8238.0
16,1,0.4,0.6,0.5,0.9,295214.0,4817590.0,-8238.0
17,1,0.4,0.6,0.55,0.7,295214.0,4817590.0,-8238.0
18,1,0.4,0.6,0.55,0.8,295214.0,4817590.0,-8238.0
19,1,0.4,0.6,0.55,0.85,295214.0,4817590.0,-8238.0
20,1,0.4,0.6,0.55,0.9,295214.0,4817590.0,-8238.0
21,1,0.4,0.6,0.6,0.8,295214.0,4817590.0,-8238.0
22,1,0.4,0.6,0.6,0.85,295214.0,4817590.0,-8238.0
23,1,0.4,0.6,0.6,0.9,295214.0,4817590.0,-8238.0
24,1,0.4,0.6,0.6,0.95,295214.0,4817590.0,-8238.0
25,1,0.4,0.7,0.35,0.65,295214.0,4817590.0,-8238.0
26,1,0.4,0.7,0.35,0.7,295214.0,4817590.0,-8238.0
27,1,0.4,0.7,0.35,0.75,295214.0,4817590.0,-8238.0
28,1,0.4,0.7,0.35,0.8,295214.0,4817590.0,-8238.0
29,1,0.4,0.7,0.35,0.85,295214.0,4817590.0,-8238.0
30,1,0.4,0.7,0.4,0.7,295214.0,4817590.0,-8238.0
31,1,0.4,0.7,0.4,0.75,295214.0,4817590.0,-8238.0
32,1,0.4,0.7,0.4,0.8,295214.0,4817590.0,-8238.0
33,1,0.4,0.7,0.4,0.85,295214.0,4817590.0,-8238.0
34,1,0.4,0.7,0.45,0.75,295214.0,4817590.0,-8238.0
35,1,0.4,0.7,0.45,0.8,295214.0,4817590.0,-8238.0
36,1,0.4,0.7,0.45,0.85,295214.0,4817590.0,-8238.0
37,1,0.4,0.7,0.45,0.9,295214.0,4817590.0,-8238.0
38,1,0.4,0.7,0.5,0.7,295214.0,4817590.0,-8238.0
39,1,0.4,0.7,0.5,0.8,295214.0,4817590.0,-8238.0
40,1,0.4,0.7,0.5,0.85,295214.0,4817590.0,-8238.0
41,1,0.4,0.7,0.5,0.9,295214.0,4817590.0,-8238.0
42,1,0.4,0.7,0.55,0.7,295214.0,4817590.0,-8238.0
43,1,0.4,0.7,0.55,0.8,295214.0,4817590.0,-8238.0
44,1,0.4,0.7,0.55,0.85,295214.0,4817590.0,-8238.0
45,1,0.4,0.7,0.55,0.9,295214.0,4817590.0,-8238.0
46,1,0.4,0.7,0.6,0.8,295214.0,4817590.0,-8238.0
47,1,0.4,0.7,0.6,0.85,295214.0,4817590.0,-8238.0
48,1,0.4,0.7,0.6,0.9,295214.0,4817590.0,-8238.0
49,1,0.4,0.7,0.6,0.95,295214.0,4817590.0,-8238.0
50,1,0.3,0.6,0.35,0.65,295214.0,4817590.0,-8238.0
51,1,0.3,0.6,0.35,0.7,295214.0,4817590.0,-8238.0
52,1,0.3,0.6,0.35,0.75,295214.0,4817590.0,-8238.0
53,1,0.3,0.6,0.35,0.8,295214.0,4817590.0,-8238.0
54,1,0.3,0.6,0.35,0.85,295214.0,4817590.0,-8238.0
55,1,0.3,0.6,0.4,0.7,295214.0,4817590.0,-8238.0
56,1,0.3,0.6,0.4,0.75,295214.0,4817590.0,-8238.0
57,1,0.3,0.6,0.4,0.8,295214.0,4817590.0,-8238.0
58,1,0.3,0.6,0.4,0.85,295214.0,4817590.0,-8238.0
59,1,0.3,0.6,0.45,0.75,295214.0,4817590.0,-8238.0
60,1,0.3,0.6,0.45,0.8,295214.0,4817590.0,-8238.0
61,1,0.3,0.6,0.45,0.85,295214.0,4817590.0,-8238.0
62,1,0.3,0.6,0.45,0.9,295214.0,4817590.0,-8238.0
63,1,0.3,0.6,0.5,0.7,295214.0,4817590.0,-8238.0
64,1,0.3,0.6,0.5,0.8,295214.0,4817590.0,-8238.0
65,1,0.3,0.6,0.5,0.85,295214.0,4817590.0,-8238.0
66,1,0.3,0.6,0.5,0.9,295214.0,4817590.0,-8238.0
67,1,0.3,0.6,0.55,0.7,295214.0,4817590.0,-8238.0
68,1,0.3,0.6,0.55,0.8,295214.0,4817590.0,-8238.0
69,1,0.3,0.6,0.55,0.85,295214.0,4817590.0,-8238.0
70,1,0.3,0.6,0.55,0.9,295214.0,4817590.0,-8238.0
71,1,0.3,0.6,0.6,0.8,295214.0,4817590.0,-8238.0
